"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"3786886366","e1b74cde","0080e11500597f8a","S22C010551LA","0.612153","0.0","0.0","10","6","4001351080","-23.5607","-46.8171","1"
"2951039339","afe5496b","0080e1150059a414","S22C010542LA","0.0","0.0","0.0","30","30","4001351109","-23.5607","-46.8171","0"
"3392487924","ca3541f4","0080e115002550f2","S22C004868LA","0.0574653","0.0","0.0","28","17","4001351102","-23.5607","-46.8171","1"
"2306949314","898140c2","0080e1150059a7f8","S22C004900LA","0.906597","0.0","0.0","2","1","4001351154","-23.5607","-46.8171","1"
"3066839299","b6cc4103","0080e1150044f40f","S22C010539LA","0.149653","0.0","0.0","25","15","4001351153","-23.5607","-46.8171","1"
"4036643332","f09a4a04","0080e1150044e7dc","S22C010570LA","0.681597","0.0","0.0","8","3","4001351152","-23.5607","-46.8171","1"
"246171758","0eac486e","0080e115002562f4","S22C010567LA","0.494792","0.0","0.0","12","10","4001351151","-23.5607","-46.8171","1"
"4157425775","f7cd486f","0080e11500257ca1","S22C011598LA","0.847049","0.0","0.0","4","2","4001351150","-23.5607","-46.8171","1"
"1415662961","54614d71","0080e1150044e58d","S22C010534LA","0.846528","0.0","0.0","4","3","4001351149","-23.5607","-46.8171","1"
"1335512900","4f9a4f44","0080e11500259aa3","S22C004831LA","0.953993","0.0","0.0","2","1","4001351147","-23.5607","-46.8171","1"
"3584576559","d5a84c2f","0080e1150570642b","S22C024002DA","0.230556","0.0","0.0","20","9","4001337987","-23.2198396","-45.8915658","1"
"3433777758","ccab4a5e","0080e1150059ac50","S22C024046DA","1.0","0.0","0.0","0","0","4001338195","-23.2198396","-45.8915658","2"
"387204620","1714460c","0080e115053de19c","S22C024572DA","1.0","0.0","0.0","0","0","4001337588","-23.2198396","-45.8915658","3"
"4239475976","fcb14508","0080e1150512fd94","S22C024594DA","1.0","0.0","0.0","0","0","4001337989","-23.2198396","-45.8915658","2"
"2951954653","aff340dd","0080e115056fda9e","S22C024339DA","1.0","0.0","0.0","0","0","4001337886","-23.2198396","-45.8915658","3"
"812925334","30744196","0080e115056ffce8","S22C024089DA","1.0","0.0","0.0","1","1","4001337590","-23.2198396","-45.8915658","1"
"105139282","06444c52","0080e115053df3ef","S22C024530DA","0.880729","0.0","0.0","0","0","4001337887","-23.2198396","-45.8915658","2"
"551962176","20e64640","0080e1150556d98a","S22C023738DA","1.0","0.0","0.0","0","0","4001337592","-23.2198396","-45.8915658","3"
"327241419","13814ecb","0080e11505563c76","S22C024066DA","1.0","0.0","0.0","1","1","4001337888","-23.2198396","-45.8915658","1"
"1900891630","714d4dee","0080E1150055C080","S22C005823II","0.778125","0.0","0.0","0","0","4001337993","-23.2198396","-45.8915658","2"
"1400654321","537c49f1","0080e115057064cb","S22C024230DA","1.0","0.0","0.0","1","1","4001338097","-23.2198396","-45.8915658","1"
"3487059937","cfd84fe1","0080e11505705f44","S22C024035DA","1.0","0.0","0.0","0","0","4001338202","-23.2198396","-45.8915658","3"
"65883843","03ed4ec3","0080e115053df411","S22C021875DA","0.889063","0.0","0.0","0","0","4001337594","-23.2198396","-45.8915658","2"
"1911112370","71e942b2","0080e11500599c90","S22C006346LA","1.0","0.0","0.0","1","1","4001338099","-23.2198396","-45.8915658","1"
