"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"4021502177","efb340e1","0080e115000d7238","S22C004232DA","0.0","0.0","0.0","30","30","4000683494","-23.603881999999999","-46.519058100000002","0"
"1760249432","68eb4658","0080e11505098405","S22C005595DA","1.0","0.0","0.0","0","0","4000683405","-23.603990499999998","-46.519100899999998","3"
"2391491787","8e8b44cb","0080e1150040a310","S22C004915DA","1.0","0.0","0.0","1","1","4000683488","-23.603881999999999","-46.519058100000002","1"
"2322678958","8a7144ae","0080e1150040e0bf","S22C003989DA","0.0","0.0","0.0","30","30","4000683526","-23.603881999999999","-46.519058100000002","0"
"1376930157","5212496d","0080e1150040d125","S22C004090DA","1.0","0.0","0.0","1","1","4000683825","-23.603881999999999","-46.519058100000002","1"
"603800925","23fd455d","0080e1150040e359","S22C004496DA","1.0","0.0","0.0","1","1","4000683368","-23.603990499999998","-46.519100899999998","1"
"3883355386","e7774cfa","0080e115000d6e6b","S22C004904DA","1.0","0.0","0.0","1","1","4000683553","-23.603881999999999","-46.519058100000002","1"
"1614364924","603940fc","0080e1150040c6d3","S22C003808DA","1.0","0.0","0.0","0","0","4000683840","-23.603881999999999","-46.519058100000002","3"
"2580824466","99d44192","0080e1150040c4b7","S22C005547DA","1.0","0.0","0.0","0","0","4000683387","-23.603990499999998","-46.519100899999998","3"
"783304761","2eb04839","0080e1150040dea8","S22C003959DA","0.0","0.0","0.0","30","30","4000683463","-23.603881999999999","-46.519058100000002","0"
"2823245016","a8474cd8","0080e115005468bb","S22C004722DA","1.0","0.0","0.0","0","0","4000683898","-23.603990499999998","-46.519100899999998","2"
"3024833613","b44b4c4d","0080e115050983ce","S22C005490DA","1.0","0.0","0.0","0","0","4000683396","-23.603990499999998","-46.519100899999998","3"
"872433628","340047dc","0080e11500216598","S22C003733DA","0.0","0.0","0.0","30","30","4000683517","-23.603881999999999","-46.519058100000002","0"
"970083185","39d24b71","0080e1150021744c","S22C005120DA","1.0","0.0","0.0","1","1","4000683561","-23.603881999999999","-46.519058100000002","1"
"1064718128","3f764f30","0080e115005401fb","S22C004999DA","1.0","0.0","0.0","0","0","4000683479","-23.603881999999999","-46.519058100000002","3"
"1638943100","61b0497c","0080e115005050aa","S22C005373DA","1.0","0.0","0.0","1","1","4000683354","-23.603990499999998","-46.519100899999998","1"
"3137556378","bb034f9a","0080e1150053b547","S22C004235DA","1.0","0.0","0.0","1","1","4000683493","-23.603881999999999","-46.519058100000002","1"
"777473672","2e574e88","0080e115050988fb","S22C004947DA","1.0","0.0","0.0","1","1","4000683862","-23.603990499999998","-46.519100899999998","1"
"2218608417","843d4721","0080e115002165c4","S22C003818DA","1.0","0.0","0.0","0","0","4000683748","-23.603881999999999","-46.519058100000002","3"
"2456964254","92724c9e","0080e1150021635f","S22C003773DA","1.0","0.0","0.0","1","1","4000683430","-23.603990499999998","-46.519100899999998","1"
"2887994837","ac234dd5","0080e1150040c589","S22C004214DA","1.0","0.0","0.0","0","0","4000683501","-23.603881999999999","-46.519058100000002","3"
"3982184406","ed5b4fd6","0080e1150040c423","S22C003999DA","1.0","0.0","0.0","0","0","4000683509","-23.603881999999999","-46.519058100000002","3"
"1597000543","5f304b5f","0080e11500216dc0","S22C004475DA","1.0","0.0","0.0","1","1","4000683362","-23.603990499999998","-46.519100899999998","1"
