Latitude,Longitude
-23.62554776999997,-46.64903158999995
-23.62580845599996,-46.64788110699993
-23.62840529899995,-46.64789405099998
-23.62858640799993,-46.64777580999998
-23.62888050499993,-46.64761918399995
-23.62925675699995,-46.64745056499999
-23.62959798899993,-46.64712273899994
-23.62943495699994,-46.64664188899997
-23.62916905999998,-46.64655457099997
-23.62938906499994,-46.64653630199996
-23.62943376799996,-46.64635758399999
-23.62930372799997,-46.64614712899998
-23.62932547199996,-46.64473035699996
-23.62852561399995,-46.64175841599996
-23.62684766599995,-46.64159291299995
-23.62705504499996,-46.64218456799995
-23.62760169699993,-46.64212992099992
-23.62790433699996,-46.64210091799998
-23.62807712199998,-46.64208079999997
-23.62830463599994,-46.64209605999997
-23.62845083599996,-46.64221047099994
-23.62878348199996,-46.64226081299995
-23.62892988099998,-46.64232624399995
-23.62901226699995,-46.64219766299993
-23.62937590699994,-46.64170044599996
-23.62915569899997,-46.64143774299999
-23.62908288599994,-46.64094471499993
-23.62907239299994,-46.64014492099993
-23.62908562699994,-46.63883201399996
-23.62916993799996,-46.63770899099994
-23.62930399099997,-46.63683463099994
-23.62940675299996,-46.63602272399999
-23.62951239199998,-46.63484972299996
-23.62958535599995,-46.63371643899994
-23.62957084499993,-46.63294333599998
-23.62947810699995,-46.62999895499996
-23.62906107299995,-46.62933195099999
-23.62664850899995,-46.62898030599996
-23.62526424599997,-46.62823792899998
-23.62306232599997,-46.62807749499996
-23.62232687599994,-46.62798598399996
-23.62087602599996,-46.62789427099995
-23.61914145899993,-46.62770823999995
-23.61774452199995,-46.62717305699995
-23.61537986899998,-46.62714626399998
-23.61434401799994,-46.62733761099997
-23.61348448899997,-46.62741803699998
-23.61321824999993,-46.62748870999997
-23.61297466499997,-46.62762072599998
-23.61246705999997,-46.62787827899996
-23.61176909699998,-46.62817838199994
-23.61097092599994,-46.62825886699994
-23.61057609899996,-46.62828293399997
-23.61038240799996,-46.62828665999996
-23.61009736699998,-46.62827437799996
-23.60988808799993,-46.62824127399994
-23.60965916099997,-46.62817521599993
-23.60940545999995,-46.62810380899998
-23.60916970999995,-46.62803243799993
-23.60897659199998,-46.62784654599994
-23.60857298599996,-46.62754889899998
-23.60791137999995,-46.62741487699998
-23.60762110599995,-46.62720060299995
-23.60715539199998,-46.62662473499995
-23.60587318099994,-46.62647508499998
-23.60548425899998,-46.62600063799994
-23.60438249199996,-46.62468560199994
-23.60133253099997,-46.62449595899994
-23.60095543099993,-46.62410257499994
-23.60016397399994,-46.62367385199997
-23.59932728299998,-46.62248406499998
-23.59711554699993,-46.62167129099998
-23.59561107499997,-46.62139388399999
-23.59504470299993,-46.62126768499996
-23.59471940699996,-46.62116077599995
-23.59437527899996,-46.62110119199997
-23.59413669199995,-46.62078803399999
-23.59264543799998,-46.62017963099998
-23.58958888099994,-46.62171642999994
-23.58962312799997,-46.62217617499994
-23.58963125499997,-46.62243030399998
-23.58962009299995,-46.62253737399993
-23.58960210199996,-46.62263821299996
-23.58957847299996,-46.62403785399993
-23.58903402499993,-46.62502001699994
-23.58865830899998,-46.62517425999994
-23.58853252799997,-46.62537257999999
-23.58823180999998,-46.62590134599999
-23.58821066299993,-46.62631522899994
-23.58823674799993,-46.62642537399996
-23.58781568399996,-46.62655283699996
-23.58752773099997,-46.62675113599994
-23.58723406999997,-46.62700447199996
-23.58697495499996,-46.62697139599993
-23.58650272999995,-46.62822068899993
-23.58644938399993,-46.62831788599993
-23.58659275499997,-46.62868069899997
-23.58701273499997,-46.62912281699994
-23.58745058499994,-46.62939308499995
-23.58768398899997,-46.62974486899998
-23.58787644599994,-46.62996949399997
-23.58794443099998,-46.63008583999994
-23.58794698799994,-46.63010901999996
-23.58628751699996,-46.62940484899997
-23.58539990499997,-46.62919277999998
-23.58504742699995,-46.62912891299994
-23.58252402299996,-46.62908529699996
-23.58075120799998,-46.62906904099998
-23.57875909599993,-46.62905126799997
-23.57731875199994,-46.62905340199994
-23.57708838499997,-46.62927147799996
-23.57710152099998,-46.62953521599997
-23.57711049499994,-46.62970976199994
-23.57719392999996,-46.62983117899995
-23.57723626299997,-46.63067558899996
-23.57736818199993,-46.63142117799998
-23.57519668699996,-46.63171709699997
-23.57482668699993,-46.63290829299995
-23.57458580099996,-46.63187304899998
-23.57438201599996,-46.63134286399998
-23.57402068999994,-46.63126914099996
-23.57378593799996,-46.63118182799997
-23.57338816499998,-46.63109164999997
-23.57332815699994,-46.63050958499998
-23.57325598699998,-46.63018414699997
-23.57321676799995,-46.62991211599996
-23.57304488499994,-46.62893162199998
-23.57241049399994,-46.62811347999997
-23.57106686799995,-46.62699772599996
-23.57191963499997,-46.62588923299995
-23.56986202499996,-46.62637954099995
-23.56951877999995,-46.62695399199999
-23.56902251399998,-46.62421668799993
-23.56414729899996,-46.62499355699998
-23.56430759599994,-46.62512962999995
-23.56383866199997,-46.62570375299998
-23.56322085099998,-46.62654139099993
-23.56309091499998,-46.62703860599999
-23.56436773799993,-46.62968772499994
-23.56405507799997,-46.63137034899995
-23.56529219499993,-46.63143492999995
-23.56522965899995,-46.63164954999996
-23.56232614599998,-46.63158894699996
-23.56170865399997,-46.63139572399997
-23.56009641199995,-46.63128454799994
-23.55986540299995,-46.63282770499995
-23.56011082199996,-46.63320964799993
-23.55996674399995,-46.63379733999994
-23.55912896899997,-46.63400507399995
-23.55869793899996,-46.63403086999995
-23.55826573199993,-46.63506573699992
-23.55831383399993,-46.63514015899995
-23.55714072299997,-46.63614648299995
-23.55719524899996,-46.63647872899998
-23.55717749399997,-46.63656369399996
-23.55731476399995,-46.63770373399997
-23.55924344999994,-46.63840057699997
-23.55874124499996,-46.63741445499994
-23.55624654699994,-46.63961691999998
-23.55582562099994,-46.63967974099995
-23.55594815099994,-46.63998172799995
