Latitude,Longitude
-22.70173674399996,-46.61967070499998
-22.70281056499994,-46.62610958799996
-22.71157784999997,-46.62693182399994
-22.71453144099996,-46.62601214499995
-22.71693307999993,-46.62109457699995
-22.72228086799994,-46.62012246599994
-22.72928452199994,-46.61584079299996
-22.73186405999996,-46.61519990699998
-22.73290207799994,-46.61662240999993
-22.73636064899994,-46.61420582599994
-22.74248382499997,-46.61367743899996
-22.74664767299993,-46.61204275199998
-22.74948293599994,-46.61406021299996
-22.75343683599993,-46.61444800299995
-22.75619908399995,-46.61537639399996
-22.75705967999994,-46.62066552399995
-22.75844101299998,-46.62325386599997
-22.75695987099994,-46.62648746199994
-22.75782932599999,-46.62692304099995
-22.75479843899996,-46.63148551099994
-22.75318533099994,-46.63476496499992
-22.75401702899995,-46.63775609399994
-22.75278143799994,-46.64105436899996
-22.75479617599996,-46.64421358099997
-22.75565638499995,-46.64615020899998
-22.76005967299994,-46.65234326499996
-22.76666521899995,-46.65783825999995
-22.76654743499995,-46.65931239099996
-22.76687438599993,-46.66048605199995
-22.76825854199996,-46.65619361899996
-22.76950610899996,-46.64861686699992
-22.77199032199997,-46.64651324699997
-22.77406392099994,-46.64723440399996
-22.77809309099996,-46.65350860299997
-22.78848335499998,-46.64790306399993
-22.79533646499993,-46.64620642599994
-22.80235318299998,-46.64403978999997
-22.80476681999994,-46.64242140499994
-22.80548259099993,-46.63812999699996
-22.80144600299997,-46.62978975599998
-22.80517215099997,-46.62495953399997
-22.80362162699993,-46.62345420799994
-22.80472938699995,-46.62092393299997
-22.81617613399993,-46.62183587599998
-22.82657920199995,-46.62209283999993
-22.82950889599994,-46.62309397799999
-22.83068699599994,-46.62764543099996
-22.83470109299998,-46.63417067099994
-22.83792966299995,-46.63713259299993
-22.84280688999996,-46.64034032199999
-22.84489270199998,-46.64106114599997
-22.84649776199996,-46.64059893199993
-22.84878386699994,-46.63764696399995
-22.85067639399995,-46.63712564599996
-22.85489999899994,-46.63384811599997
-22.85745253899995,-46.63185250899993
-22.86066280099993,-46.63697953599996
-22.86087696799996,-46.64045174299997
-22.86174022299997,-46.64146396699994
-22.86297299299998,-46.64887366699998
-22.86782824999995,-46.64926474399994
-22.86893274799996,-46.64607391599997
-22.87454472599995,-46.64598498899994
-22.87723391499998,-46.64679056799998
-22.88041332099993,-46.64905140199994
-22.88266107299995,-46.65005639099996
-22.88509803499994,-46.65201325699996
-22.88781218399993,-46.65393079599994
-22.88490802599995,-46.65542716199996
-22.88415777299997,-46.65800639099996
-22.88474659999997,-46.65976298199995
-22.88624213199995,-46.66318080999998
-22.88585047499993,-46.66370689899998
-22.88657376299994,-46.66311967399997
-22.88929522899997,-46.66881689899998
-22.89042630499995,-46.67131519699996
-22.88716400699997,-46.67692777499997
-22.88590537899995,-46.67767940299996
-22.88405423899997,-46.68056548099997
-22.88481484899995,-46.68139630099995
-22.88784811199996,-46.67940212199995
-22.89915067099997,-46.68250345999996
-22.91184900299993,-46.68406990599993
-22.91447184799995,-46.68347934599997
-22.91598906699994,-46.68217766099997
-22.91662074299995,-46.68231316699996
-22.91788407699994,-46.67962320099997
-22.92090412899995,-46.68073432099993
-22.92800134999993,-46.67866263799994
-22.92815441799996,-46.67390261899993
-22.92588719599996,-46.67228262899994
-22.92599080599996,-46.67000375499998
-22.92876831899998,-46.67107125699994
-22.92996638499994,-46.67631654199994
-22.93242471899998,-46.68110569799995
-22.93655603199994,-46.68589424299995
-22.94052130799997,-46.69003618399994
-22.94768018699995,-46.69273141699995
-22.94856687399994,-46.69351224499998
-22.95236384299994,-46.69653305999998
-22.95337379199998,-46.69781617699994
-22.95725772899993,-46.69956749999993
-22.95700741799993,-46.70228756399996
-22.95892578099996,-46.70351502899997
-22.95879132099998,-46.70430890299997
-22.95742881899997,-46.70594947699993
-22.95834882299994,-46.71144918599998
-22.95701962999993,-46.71245414999999
-22.95958768399994,-46.71605446899997
-22.96358346699998,-46.71984418199997
-22.96645380499997,-46.71955748799996
-22.96819070999993,-46.71700975499994
-22.96962792999994,-46.71525443999997
-22.97226819199995,-46.71620797699994
-22.97724324999996,-46.71044969599996
-22.98334715499993,-46.70714439299996
-22.98229913399996,-46.70551213399996
-22.98326411099998,-46.70642408799996
-22.98448110799995,-46.70117354699995
-22.99980309899996,-46.70298045799997
-23.00102719599994,-46.70283997499997
-23.00274282599997,-46.70067603099994
